mipvu_id,case_id,document_id,sentence_id,lexical_unit,lemma,decision_type,review_status,contextual_meaning,basic_meaning,confidence,semantic_shift_risk,review_notes,source_path
lincoln-lyceum-address_s01_p04_s01_lu009,lincoln,lincoln-lyceum-address,lincoln-lyceum-address_s01_p04_s01,the,the,,pending,,,,,,cases/lincoln/corpus/mipvu/lincoln-lyceum-address_mipvu.json
lincoln-lyceum-address_s01_p04_s01_lu010,lincoln,lincoln-lyceum-address,lincoln-lyceum-address_s01_p04_s01,sun,sun,,pending,,,,,,cases/lincoln/corpus/mipvu/lincoln-lyceum-address_mipvu.json
lincoln-lyceum-address_s01_p04_s01_lu011,lincoln,lincoln-lyceum-address,lincoln-lyceum-address_s01_p04_s01,we,we,,pending,,,,,,cases/lincoln/corpus/mipvu/lincoln-lyceum-address_mipvu.json
lincoln-lyceum-address_s01_p04_s01_lu012,lincoln,lincoln-lyceum-address,lincoln-lyceum-address_s01_p04_s01,the,the,,pending,,,,,,cases/lincoln/corpus/mipvu/lincoln-lyceum-address_mipvu.json
lincoln-lyceum-address_s01_p04_s01_lu013,lincoln,lincoln-lyceum-address,lincoln-lyceum-address_s01_p04_s01,American,american,,pending,,,,,,cases/lincoln/corpus/mipvu/lincoln-lyceum-address_mipvu.json
lincoln-lyceum-address_s01_p04_s01_lu014,lincoln,lincoln-lyceum-address,lincoln-lyceum-address_s01_p04_s01,people,people,,pending,,,,,,cases/lincoln/corpus/mipvu/lincoln-lyceum-address_mipvu.json
lincoln-lyceum-address_s01_p04_s01_lu015,lincoln,lincoln-lyceum-address,lincoln-lyceum-address_s01_p04_s01,find,find,,pending,,,,,,cases/lincoln/corpus/mipvu/lincoln-lyceum-address_mipvu.json
lincoln-lyceum-address_s01_p04_s01_lu016,lincoln,lincoln-lyceum-address,lincoln-lyceum-address_s01_p04_s01,our,our,,pending,,,,,,cases/lincoln/corpus/mipvu/lincoln-lyceum-address_mipvu.json
lincoln-lyceum-address_s01_p04_s01_lu017,lincoln,lincoln-lyceum-address,lincoln-lyceum-address_s01_p04_s01,account,account,,pending,,,,,,cases/lincoln/corpus/mipvu/lincoln-lyceum-address_mipvu.json
lincoln-lyceum-address_s01_p04_s01_lu018,lincoln,lincoln-lyceum-address,lincoln-lyceum-address_s01_p04_s01,running,running,,pending,,,,,,cases/lincoln/corpus/mipvu/lincoln-lyceum-address_mipvu.json
lincoln-lyceum-address_s01_p04_s01_lu019,lincoln,lincoln-lyceum-address,lincoln-lyceum-address_s01_p04_s01,under,under,,pending,,,,,,cases/lincoln/corpus/mipvu/lincoln-lyceum-address_mipvu.json
lincoln-lyceum-address_s01_p04_s01_lu020,lincoln,lincoln-lyceum-address,lincoln-lyceum-address_s01_p04_s01,date,date,,pending,,,,,,cases/lincoln/corpus/mipvu/lincoln-lyceum-address_mipvu.json
lincoln-lyceum-address_s01_p04_s01_lu021,lincoln,lincoln-lyceum-address,lincoln-lyceum-address_s01_p04_s01,of,of,,pending,,,,,,cases/lincoln/corpus/mipvu/lincoln-lyceum-address_mipvu.json
lincoln-lyceum-address_s01_p04_s01_lu022,lincoln,lincoln-lyceum-address,lincoln-lyceum-address_s01_p04_s01,the,the,,pending,,,,,,cases/lincoln/corpus/mipvu/lincoln-lyceum-address_mipvu.json
lincoln-lyceum-address_s01_p04_s01_lu023,lincoln,lincoln-lyceum-address,lincoln-lyceum-address_s01_p04_s01,nineteenth,nineteenth,,pending,,,,,,cases/lincoln/corpus/mipvu/lincoln-lyceum-address_mipvu.json
lincoln-lyceum-address_s01_p04_s01_lu024,lincoln,lincoln-lyceum-address,lincoln-lyceum-address_s01_p04_s01,century,century,,pending,,,,,,cases/lincoln/corpus/mipvu/lincoln-lyceum-address_mipvu.json
lincoln-lyceum-address_s01_p04_s01_lu025,lincoln,lincoln-lyceum-address,lincoln-lyceum-address_s01_p04_s01,of,of,,pending,,,,,,cases/lincoln/corpus/mipvu/lincoln-lyceum-address_mipvu.json
lincoln-lyceum-address_s01_p04_s01_lu026,lincoln,lincoln-lyceum-address,lincoln-lyceum-address_s01_p04_s01,the,the,,pending,,,,,,cases/lincoln/corpus/mipvu/lincoln-lyceum-address_mipvu.json
lincoln-lyceum-address_s01_p04_s01_lu027,lincoln,lincoln-lyceum-address,lincoln-lyceum-address_s01_p04_s01,Christian,christian,,pending,,,,,,cases/lincoln/corpus/mipvu/lincoln-lyceum-address_mipvu.json
lincoln-lyceum-address_s01_p04_s01_lu028,lincoln,lincoln-lyceum-address,lincoln-lyceum-address_s01_p04_s01,era,era,,pending,,,,,,cases/lincoln/corpus/mipvu/lincoln-lyceum-address_mipvu.json
lincoln-lyceum-address_s01_p04_s02_lu001,lincoln,lincoln-lyceum-address,lincoln-lyceum-address_s01_p04_s02,We,we,,pending,,,,,,cases/lincoln/corpus/mipvu/lincoln-lyceum-address_mipvu.json
lincoln-lyceum-address_s01_p04_s02_lu002,lincoln,lincoln-lyceum-address,lincoln-lyceum-address_s01_p04_s02,find,find,,pending,,,,,,cases/lincoln/corpus/mipvu/lincoln-lyceum-address_mipvu.json
lincoln-lyceum-address_s01_p04_s02_lu003,lincoln,lincoln-lyceum-address,lincoln-lyceum-address_s01_p04_s02,ourselves,ourselves,,pending,,,,,,cases/lincoln/corpus/mipvu/lincoln-lyceum-address_mipvu.json
